3775	50 ngày Trái Đất
3776	59 ngày Trái Đất
3777	Sao Kim
3778	Một năm trên Trái Đất dài 365 ngày.
3779	Sao Kim đứng thứ mấy trong Hệ Mặt Trời?
3780	Thứ hai
3781	Sao Kim nặng bằng:
3782	0,7 Trái Đất
3783	0,8 Trái Đất
3784	1,3 Trái Đất
3785	2,5 Trái Đất
3786	Sao Kim lớn cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3787	Lớn thứ năm
3788	Lớn thứ tư
3789	Một năm trên Sao Kim dài bao lâu?
3790	225 ngày Trái Đất
3791	116 ngày Trái Đất
3792	100 ngày Trái Đất
3793	Sao Kim tự quay một vòng mất bao lâu?
3794	243 ngày Trái Đất
3795	Nhiệt độ cao nhất trên Sao Kim là:
3796	100 °C
3797	20 °C
3798	467 °C
3799	45 °C
3800	Sao Kim có bao nhiêu mặt trăng?
3801	Trái Đất
3802	Nhiệt độ cao nhất trên Sao Hoả là 20 °C.
3803	Trái Đất đứng thứ mấy trong Hệ Mặt Trời?
3804	Thứ ba
3805	Thứ năm
3806	Trái Đất quay một vòng quanh Mặt Trời mất bao lâu?
3807	200 ngày
3808	30 ngày
3809	7 ngày
3810	365 ngày
3811	Trái Đất có bao nhiêu mặt trăng?
3812	Trái Đất tự quay một vòng mất bao lâu?
3813	12 giờ
3814	24 giờ
3815	365 giờ
3816	48 giờ
3817	Trái Đất có mấy mùa?
3818	Nhiệt độ cao nhất trên Trái Đất là:
3819	58 °C
3820	30 °C
3821	Trái Đất lớn cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3822	Sao Hoả
3823	Sao Hoả đứng thứ mấy trong Hệ Mặt Trời?
3824	Nhiệt độ cao nhất trên Sao Hoả là:
3825	60 °C
3826	Sao Hoả to bằng bao nhiêu so với Trái Đất?
3827	Bằng nhau
3828	Một nửa
3829	Gấp hai lần
3830	Gấp ba lần
3831	Sao Hoả có bao nhiêu mặt trăng?
3832	Sao Hoả tự quay một vòng mất bao lâu?
3833	24,5 giờ
3834	Sao Hoả quay một vòng quanh Mặt Trời mất bao lâu?
3835	687 ngày Trái Đất
3836	30 ngày Trái Đất
3837	7 ngày Trái Đất
3838	Sao Hoả nhỏ cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3839	Sao Mộc
3840	Một năm trên Sao Thổ dài 29,5 năm Trái Đất.
3841	Sao Mộc đứng thứ mấy trong Hệ Mặt Trời?
3842	Sao Mộc lớn cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3843	Lớn thứ hai
3844	Nhiệt độ thấp nhất trên Sao Mộc là:
3845	-145 °C
3846	-180 °C
3847	Sao Mộc có bao nhiêu mặt trăng?
3848	Sao Mộc tự quay một vòng mất bao lâu?
3849	10 giờ
3850	Sao Mộc quay một vòng quanh Mặt Trời mất bao lâu?
3851	5 năm Trái Đất
3852	12 năm Trái Đất
3853	30 năm Trái Đất
3854	1 năm Trái Đất
3855	Sao Thổ
3856	Nhiệt độ thấp nhất trên Sao Mộc là -145 °C.
3857	Một năm trên Sao Mộc dài 12 năm Trái Đất.
3858	Sao Thổ đứng thứ mấy trong Hệ Mặt Trời?
3859	Sao Thổ lớn cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3860	Sao Thổ có bao nhiêu mặt trăng?
3861	Sao Thổ tự quay một vòng mất bao lâu?
3862	10,5 giờ
3863	Nhiệt độ thấp nhất trên Sao Thổ là:
3864	0 °C
3865	-178 °C
3866	-100 °C
3867	Sao Thổ quay một vòng quanh Mặt Trời mất bao lâu?
3868	29,5 năm Trái Đất
3869	20 năm Trái Đất
3870	10 năm Trái Đất
3871	Sao Thiên Vương
3872	Nhiệt độ trên Sao Thổ là -178 °C.
3873	Sao Thiên Vương đứng thứ mấy trong Hệ Mặt Trời?
3874	Thứ tám
3875	Sao Thiên Vương quay một vòng quanh Mặt Trời mất bao nhiêu năm?
3876	24 năm Trái Đất
3877	68 năm Trái Đất
3878	84 năm Trái Đất
3879	Sao Thiên Vương có bao nhiêu mặt trăng?
3880	Sao Thiên Vương tự quay một vòng mất bao lâu?
3881	27 giờ
3882	17 giờ
3883	Sao Thiên Vương lớn cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3884	Nhiệt độ cao nhất trên Sao Thiên Vương là:
3885	-216 °C
3886	Sao Hải Vương
3887	Nhiệt độ cao nhất trên Sao Thổ là -178 °C.
3888	Một năm trên Sao Thiên Vương dài 84 năm Trái Đất.
3889	Sao Hải Vương đứng thứ mấy trong Hệ Mặt Trời?
3890	Sao Hải Vương quay một vòng quanh Mặt Trời mất bao lâu?
3891	165 năm Trái Đất
3892	3 năm Trái Đất
3893	100 năm Trái Đất
3894	Sao Hải Vương có bao nhiêu mặt trăng?
3895	Sao Hải Vương tự quay một vòng mất bao lâu?
3896	16 giờ
3897	Nhiệt độ trung bình trên Sao Hải Vương là:
3898	-210 °C
3899	Sao Hải Vương lớn cỡ nào so với các hành tinh khác trong Hệ Mặt Trời?
3900	Độ chính xác: %1%
3901	%1%
3902	Điểm cuối cùng của con là: <font color="#3bb0de">%1%</font>.<br><br>%2
3903	Con phải đạt trên 90% mới thành chuyên gia Hệ Mặt Trời!<br>Hãy làm lại để thử sức, hoặc luyện ở chế độ học để biết thêm về Hệ Mặt Trời.
3904	Giỏi lắm! Con làm lại bài kiểm tra được để thử sức với nhiều câu hỏi hơn.
3905	Chế độ: <font color="#3bb0de">%1</font><br><br>Hoạt động có hai chế độ, đổi được trong cửa sổ cài đặt:<br><b>1. Chế độ học</b> - Ở đây con vừa chơi vừa tìm hiểu về Hệ Mặt Trời.<br><b>2. Chế độ kiểm tra</b> - Ở đây con thử xem mình biết được bao nhiêu về Hệ Mặt Trời.
3906	Kiểm tra
3907	Học
3908	Bấm vào Mặt Trời hoặc một hành tinh bất kỳ để hiện câu hỏi. Mỗi câu có 4 lựa chọn, trong đó một đáp án đúng.
3909	Sau khi bấm vào một hành tinh, đồng hồ Độ gần ở góc dưới bên phải màn hình cho biết câu trả lời của con gần đúng tới đâu. Đáp án sai nhất ứng với 1%. Cứ thử lại theo đồng hồ đó tới khi đạt 100%. Nếu nút gợi ý đang hiện, con bấm vào để được gợi ý tìm đáp án.
3910	Lúc đầu có 20 câu hỏi, mỗi câu 4 lựa chọn. Thanh tiến trình ở góc dưới bên phải màn hình cho biết điểm của con theo phần trăm.
3911	Trả lời đúng thì điểm tăng.<br>Trả lời sai thì điểm giảm, và cuối bài sẽ có thêm một câu hỏi nữa cùng với câu con đã trả lời sai.<br>Nhiều nhất là 25 câu, sau đó không thêm câu nào nữa.
