207	Battery	I = %1A
210	Bulb	I = %1A
215	Resistor	I = %1A
218	Rheostat	I = %1A
625	board1_0	1
626	board1_0	2
627	board1_0	3
628	board1_0	4
635	board3_0	1
636	board3_0	2
637	board3_0	3
638	board3_0	4
640	board4_0	1
641	board4_0	2
642	board4_0	3
643	board4_0	4
918	AndGate	A AND B
924	NandGate	NOT (A AND B)
926	NorGate	NOT (A OR B)
931	OrGate	A OR B
937	XorGate	A XOR B
1048	ActivityInfo	Enter: validate your answer (if the 'Validate answers' option is set to 'OK button')
1049	Enumerate	Enumerate up to %1 fruits.
1050	Enumerate	Group %1 types of fruit and enumerate each group (%2 fruits max).
1051	Data	Enumerate up to %1 fruits.
1052	Data	Group %1 types of fruit and enumerate each group (%2 fruits max).
1067	ActivityInfo	In level one, players enjoy exploring each animal on the screen. Click on an animal and learn about it, what its name is, what sound it makes, and what it looks like. Study well this information, because you will be tested in level 2 and 3.
1068	ActivityInfo	In level two, a random animal sound is played and you must find which animal makes this sound. Click on the corresponding animal. If you'd like to hear the animal sound repeated, click on the play button.
1069	ActivityInfo	In level three, a random text prompt is displayed and you must click on the animal that matches the text.
1070	ExploreLevels	This activity requires sound, so it will play some sounds even if the audio voices or effects are disabled in the main configuration.
1071	ExploreLevels	Quit
1072	ExploreLevels	Continue
1073	board1	Horse
1074	board1	The horse goes 'neigh'. Horses are adapted to run, allowing them to quickly escape predators, and possess an excellent sense of balance. They have single-toed hooves.
1075	board1	This animal has single-toed hooves.
1076	board1	Chicken
1077	board1	The chicken goes 'cluck'. Domestic chickens have wings, but are not capable of long-distance flight. They have a comb on their head.
1078	board1	This animal has a comb on its head.
1079	board1	Cow
1080	board1	The cow goes 'moo'. Cows have a wide field of view of 330°. They have a well-developed sense of taste, with around 20,000 taste buds. They can detect odours 8km away.
1081	board1	This animal has around 20,000 taste buds.
1082	board1	Cat
1083	board1	The cat goes 'meow'. Cats are valued by humans for companionship and their ability to chase mice and other rodents. They purr to communicate various emotions.
1084	board1	This animal can purr.
1085	board1	Pig
1086	board1	The pig goes 'oink'. Pigs wallow in the mud, mainly to control their body temperature.
1087	board1	This animal wallows in the mud to control its body temperature.
1088	board1	Duck
1089	board1	The duck goes 'quack'. Ducks are mostly aquatic birds. They have waterproof feathers and webbed feet which enable them to swim on the water.
1090	board1	This animal has webbed feet and can swim on the water.
1091	board1	Owl
1092	board1	The owl goes 'hoot'. Owls are nocturnal birds, they have excellent vision and hearing at night.
1093	board1	This animal is a nocturnal bird.
1094	board1	Dog
1095	board1	The dog goes 'woof'. Dogs are probably the oldest domesticated species. They are descendants of the wolf.
1096	board1	This animal is a descendant of the wolf.
1097	board1	Sheep
1098	board1	The sheep goes 'baa'. Most sheep breeds bear a fleece of wool. The fleece can be sheared and used to produce textile fibre.
1099	board1	This animal produces wool.
1100	board1	Click on each farm animal to discover them.
1101	board1	Click on the farm animal that makes the sound you hear.
1102	board1	Click the animal that matches the description.
1108	ActivityInfo	Photos taken from Wikipedia.
1109	board1	Chichén Itzá
1110	board1	Chichen Itza, meaning “at the mouth of the Itza well”, is a Mayan City on the Yucatan Peninsula in Mexico, between Valladolid and Merida. It was established before the period of Christopher Columbus and probably served as the religion center of Yucatan for a while.
1111	board1	Colosseum
1112	board1	The Colosseum or Coliseum is today the most recognizable of Rome's Classical buildings. Even 2000 years after it was built, and despite centuries when the abandoned building was pillaged for building materials, it is instantly recognizable as a classical template for the stadia of today. It was the first permanent amphitheatre to be raised in Rome, and the most impressive arena the Classical world had yet seen.
1113	board1	Christ the Redeemer
1114	board1	Christ the Redeemer is an Art Deco statue of Jesus Christ in Rio de Janeiro, Brazil. A symbol of Christianity across the world, the statue has also become a cultural icon of both Rio de Janeiro and Brazil.
1115	board1	The Great Wall of China
1116	board1	The Great Wall was listed as a World Heritage by UNESCO in 1987. Just like a gigantic dragon, it winds up and down across deserts, grasslands, mountains and plateaus, stretching approximately 13170 miles (21196 kilometers) from east to west of China.
1117	board1	Machu Picchu
1118	board1	The Machu Picchu stands 2430 meters above sea-level, in the middle of a tropical mountain forest, in an extraordinarily beautiful setting. It was probably the most amazing urban creation of the Inca Empire at its height, its giant walls, terraces and ramps seem as if they had been cut naturally in the continuous rock escarpments. The natural setting, on the eastern slopes of the Andes, encompasses the upper Amazon basin with its rich diversity of flora and fauna.
1119	board1	Petra
1120	board1	Petra is a historical and archaeological city in the southern Jordanian governorate of Ma'an that is famous for its rock-cut architecture and water conduit system. Established possibly as early as 312 BC as the capital city of the Arab Nabataeans, it is a symbol of Jordan, as well as Jordan's most-visited tourist attraction.
1121	board1	Taj Mahal, India
1122	board1	The Taj Mahal is a white marble mausoleum located on the southern bank of the Yamuna River in the Indian city of Agra. It was commissioned in 1632 by the Mughal emperor Shah Jahan reigned to house the tomb of his favorite wife of three, Mumtaz Mahal.
1123	board1	Taj Mahal
1124	board1	The New 7 Wonders of the World.
1125	board1	Click on the location of the given monument.
1126	board2	Golden Temple
1127	board2	Sri Harimandir Sahib, known as the Golden Temple in Amritsar, is one of the most revered spiritual sites of Sikhism. The construction was intended to build a place of worship for men and women from all walks of life and all religions to worship God equally.
1128	board2	Hawa Mahal
1129	board2	Hawa Mahal is a palace in Jaipur, India, so named because it was essentially a high screen wall built so that the women of the royal household could observe street festivals while unseen from the outside. Constructed of red and pink sandstone, the palace sits on the edge of the City Palace, and extends to the zenana, or women's chambers.
1130	board2	Gateway of India
1131	board2	The Gateway of India is one of India's most unique landmarks situated in the city of Mumbai. The colossal structure was constructed in 1924. Located at the tip of Apollo Bunder, the gateway overlooks the Mumbai harbor, bordered by the Arabian Sea in the Colaba district. The Gateway of India is a monument that marks India's chief ports and is a major tourist attraction for visitors who arrive in India for the first time.
