712	%n giây
713	Giờ tròn.
714	Giờ rưỡi.
715	Mười lăm phút một.
716	Giờ có phút.
717	Giờ có phút và giây.
718	Không gợi ý.
723	Đổi màu bằng cách kéo thanh trượt trên các tuýp màu, hoặc bấm nút + và -. Rồi bấm nút Đồng ý để kiểm tra câu trả lời.
724	Sơn và mực hút bớt một số màu của ánh sáng chiếu vào, trừ đi khỏi thứ con nhìn thấy. Càng thêm mực thì càng hút nhiều ánh sáng, màu càng sẫm lại. Chỉ cần trộn ba màu cơ bản là ra được rất nhiều màu mới. Ba màu cơ bản của sơn và mực là xanh lơ (một sắc xanh đặc biệt), hồng magenta (một sắc hồng đặc biệt) và vàng.
725	Pha cho đúng màu
726	Thiếu màu đỏ
727	Thừa màu đỏ
728	Thiếu màu xanh lá
729	Thừa màu xanh lá
730	Thiếu màu xanh lam
731	Thừa màu xanh lam
732	Thiếu màu hồng magenta
733	Thừa màu hồng magenta
734	Thiếu màu vàng
735	Thừa màu vàng
736	Thiếu màu xanh lơ
737	Thừa màu xanh lơ
742	Đổi màu bằng cách kéo thanh trượt trên các đèn pin, hoặc bấm nút + và -. Rồi bấm nút Đồng ý để kiểm tra câu trả lời.
743	Pha màu ánh sáng thì ngược hẳn với pha màu sơn. Càng thêm ánh sáng thì màu càng sáng lên. Ba màu cơ bản của ánh sáng là đỏ, xanh lá và xanh lam.
749	Phím cách hoặc Enter: chọn một câu trả lời
750	Tìm chú vịt màu vàng
751	Tìm chú vịt màu đen
752	Tìm chú vịt màu xanh lá
753	Tìm chú vịt màu đỏ
754	Tìm chú vịt màu trắng
755	Tìm chú vịt màu xanh lam
756	Tìm chú vịt màu nâu
757	Tìm chú vịt màu xám
758	Tìm chú vịt màu cam
759	Tìm chú vịt màu tím
760	Tìm chú vịt màu hồng
761	Hoạt động này cần âm thanh, nên vẫn sẽ phát tiếng dù giọng đọc hay hiệu ứng đã bị tắt trong phần cài đặt chung.
762	Thoát
763	Chơi tiếp
768	Nếu có câu trả lời sai, dấu chéo sẽ hiện ở dòng tương ứng. Hãy sửa lại rồi bấm nút Đồng ý lần nữa.
769	Mũi tên lên và xuống: chọn một cặp số trong danh sách
770	Mũi tên trái và phải: chọn một nút dấu
771	Phím cách: nếu đang chọn một nút dấu thì điền dấu đó vào
772	Enter: xác nhận câu trả lời
773	&lt;, &gt; hoặc =: điền dấu tương ứng
774	Các số từ 1 tới 9.
775	3 chữ số thập phân, từ 0 tới 999,999.
776	Các số từ 1 tới 19.
777	Các số từ 1 tới 100.
778	Các số từ 1 tới 1000.
779	Các số từ 1 tới 1000000.
780	Các số từ 1 tới 1 tỉ.
781	1 chữ số thập phân, từ 0 tới 9,9, cùng phần nguyên.
782	1 chữ số thập phân, từ 0 tới 9,9.
783	2 chữ số thập phân, từ 0 tới 99,99.
784	Chế độ theo mẫu
789	<br><b>Vẽ bằng compa:</b>
790	Di compa bằng cách kéo chân không có bút.
791	Di bút bằng cách kéo chân kia, hoặc kéo vòng tròn quanh đầu bút.
792	Xoay và vẽ bằng cách kéo bút với nút chuột trái.
793	Xoay mà không vẽ bằng cách kéo bản lề compa, hoặc kéo bút với nút chuột phải.
794	Giữ phím Ctrl để tạm đảo ngược chế độ bám lưới.
795	<b>Mẫu vẽ:</b>
796	Mỗi màn ở chế độ theo mẫu đưa ra một hình mẫu để vẽ lại hoặc lấy ý tưởng.
797	Mỗi mẫu chia thành nhiều bước, xem qua lại bằng các nút mũi tên.
798	Mỗi bước chỉ ra chỗ đặt đầu compa và đường tròn hoặc cung cần vẽ.
799	Con đổi được vị trí của mẫu bằng cách bấm vào các góc của nó.
800	Ctrl + Z: hoàn tác thao tác vừa rồi
801	Ctrl + Y: làm lại thao tác vừa hoàn tác
802	Ctrl + S: lưu bức tranh
803	Ctrl + O: mở một bức tranh
804	Ctrl: đảo ngược chế độ bám lưới trong lúc giữ phím
805	P: mở bảng chọn bút
806	Mũi tên trái: bước mẫu trước
807	Mũi tên phải: bước mẫu tiếp theo
808	Tab: hiện hoặc ẩn hình mẫu
809	Phím cách: hiện hoặc ẩn compa và lưới
810	Chế độ tự do
811	Bước trước
812	Bước tiếp theo
813	Tất cả các bước
814	Bước hiện tại
815	Bảng chọn tệp
816	Cài đặt compa và lưới
817	Cài đặt bút
818	Hoàn tác
819	Làm lại
820	Hiện hình mẫu
821	Ẩn hình mẫu
822	Hiện compa và lưới
823	Ẩn compa và lưới
824	Lưu bức tranh của con
825	Mở một bức tranh
826	Tạo bức tranh mới
827	Màu nền
828	Cỡ khung vẽ
829	Khoảng cách lưới
830	Bám theo lưới
831	Hiện lưới
832	Màu
833	Độ mờ
834	 Cỡ bút
835	Con chưa lưu bức tranh này. Con có muốn đóng hoạt động không?
836	Con có muốn xoá bức tranh này không?
837	Có
838	Không
839	Cái bia
840	Hoa mẫu đơn
841	Con ốc sên
842	Hoa hồng
843	Vòng xoáy
844	Đường xoắn ốc
845	Nút xoắn
846	Khuôn mặt
847	Con gấu
848	Con sư tử
849	Con chuột
850	Vỏ sò
851	Bông sen
852	Thảm hoa
853	Cỏ ba lá
854	Quả bóng bay
855	Hoa cúc
856	Hoa dừa cạn
857	Quả bóng đá
863	Phím mũi tên: di chuyển món đồ đang chọn
864	Phím cách, Enter hoặc Tab: chọn món tiếp theo
865	mèo;chó;cây;hoa;sao;mưa;gió;lửa;cơm;sữa;mắt;tay;bút;cửa;đèn;ghế;bàn;nhà
866	bóng;chân;sách;bánh;nước;xanh;vàng;tròn;xoài;ngựa;kiến;chim;trời;biển;rừng;trâu
867	chuối;trứng;khoai;chanh;trắng;ruộng;chuột;trăng;trống;thang;thuốc;khách;phòng;xoong
868	Chơi với hình ảnh.
869	Chơi với từ có 3 chữ cái.
870	Chơi với từ có 4 chữ cái.
871	Chơi với từ có 5 chữ cái.
876	Ảnh lấy từ Wikimedia Commons.
877	Chơi với tranh vẽ.
878	Chơi với ảnh chụp đơn giản.
879	Chơi với ảnh chụp phức tạp.
880	Lâu đài Eilean Donan
881	Kim tự tháp Giza, Ai Cập
882	Nhà hát Opera Sydney, Úc
883	Cầu Tháp ở London
884	Tháp Eiffel, nhìn từ công viên Champ de Mars, Paris, Pháp
885	Sân bảo tàng Louvre và kim tự tháp kính
886	Toàn cảnh lâu đài Chenonceau, Indre-et-Loire, Pháp.
887	Cối xay gió ở Sønderho, Fanø, Đan Mạch
888	Thành Nagoya, tỉnh Aichi, Nhật Bản.
