3300	Nốt đen
3301	Nốt móc đơn
3302	Đã thêm dấu lặng tròn
3303	Đã thêm dấu lặng trắng
3304	Đã thêm dấu lặng đen
3305	Đã thêm dấu lặng đơn
3306	Dấu lặng tròn
3307	Dấu lặng trắng
3308	Dấu lặng đen
3309	Dấu lặng đơn
3310	Dương cầm
3311	Lời bài hát
3312	Phát giai điệu
3313	Hoàn tác
3314	Nốt thăng
3315	Nốt giáng
3316	Đây là khuông nhạc khoá Sol, dành cho các nốt cao.
3317	Đây là khuông nhạc khoá Fa, dành cho các nốt trầm.
3318	Các phím đen là nốt thăng và nốt giáng. Nốt thăng có dấu ♯.
3319	Mỗi phím đen có hai tên: giáng và thăng. Nốt giáng có dấu ♭.
3320	Bấm vào ký hiệu nốt để viết các nốt có trường độ khác nhau: nốt tròn, nốt trắng, nốt đen và nốt móc đơn.
3321	Dấu lặng là quãng im lặng, dài bằng nốt tương ứng. Bấm vào ký hiệu dấu lặng để chọn độ dài rồi bấm nút thêm để đặt nó lên khuông nhạc.
3322	Giờ con mở được bản nhạc và lưu được bản nhạc của mình.
3323	Lỗi khi lưu giai điệu vào tệp của bạn (%1)
3324	Đã lưu giai điệu vào tệp của bạn (%1)
3325	Con chưa chọn nốt nào. Con có muốn xoá hết các nốt không?
3326	Có
3327	Không
3328	Chọn loại giai điệu muốn mở.
3329	Giai điệu có sẵn
3330	Giai điệu con đã lưu
3331	Hoạt động này cần âm thanh, nên vẫn sẽ phát tiếng dù giọng đọc hay hiệu ứng đã bị tắt trong phần cài đặt chung.
3332	Thoát
3333	Chơi tiếp
3334	Fa%1
3335	Sol%1
3336	La%1
3337	Si%1
3338	Đô%1
3339	Rê%1
3340	Mi%1
3341	Fa♯%1
3342	Sol♯%1
3343	La♯%1
3344	Đô♯%1
3345	Rê♯%1
3346	Sol♭%1
3347	La♭%1
3348	Si♭%1
3349	Rê♭%1
3350	Mi♭%1
3355	Bắt các số bắt đầu từ 0.
3356	Bắt các số bắt đầu từ 10.
3357	Hiện nốt có màu.
3358	Hiện nốt không màu.
3364	Từ cấp 1 tới cấp 5 con luyện nốt ở khoá Sol, từ cấp 6 tới cấp 10 con luyện nốt ở khoá Fa.
3365	Phím xoá lùi hoặc Delete: hoàn tác
3366	Bấm các phím đàn ứng với những nốt đã cho.
3367	Hoạt động này cần âm thanh, nên vẫn sẽ phát tiếng dù giọng đọc hay hiệu ứng đã bị tắt trong phần cài đặt chung.
3368	Thoát
3369	Chơi tiếp
3375	Ở các cấp lẻ, một vạch dọc chạy trên khuông nhạc theo nhịp: hãy gõ trống khi vạch nằm giữa các nốt.
3376	Các cấp chẵn khó hơn vì không có vạch dọc. Con phải tự đọc trường độ các nốt rồi gõ đúng nhịp. Con cũng có thể bấm vào máy đếm nhịp để nghe nốt đen làm mốc.
